url,title,text,translated_text,category,main_image
https://www.haal.fashion/food/507xwtq366,"এসেছে চোখজুড়ানো, মনভরানো শীতের সবজি","স্বাদে–গন্ধে, ফ্লেভারে বা টেকশ্চারের বৈচিত্র্যে বহুবর্ণিল শীতের সবজি। বাঙালির জীবন ও খাদ্য সংস্কৃতিতে শীতের সবজি মানেই এক আবেগের নাম","A variety of winter vegetables in taste, flavor or texture. In Bengali life and food culture, winter vegetable means the name of an emotion",Science,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F95961635-ff58-4f03-afbe-58d61b44a324%2Fwintervegetables2.jpg?rect=0%2C0%2C1300%2C683&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fdf4c7d13-96dc-4875-b8bf-5aac7b6aa475%2FHaalfashion_gpi_sample3.png&overlay_position=bottom&overlay_opacity=1&w=1200&h=627&auto=format%2Ccompress&ogImage=true&overlay_width_pct=1
https://www.prothomalo.com/politics/9em8r34hrs,জাপায় বিরোধ: রওশন এখনো মনোনয়ন ফরম নেননি,ভোটের মাঠে নেমে দলীয় মনোনয়নপ্রক্রিয়া শুরু করার পরও জাতীয় পার্টির নেতৃত্বের বিরোধ আবারও আলোচনায় এসেছে।,Jatiya Party's leadership dispute has come to the fore once again after the party started its nomination process after going to the polls.,Entertainment,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F6a0d23cc-0260-4ae7-900d-d0b7d45af833%2Fframe_1600X1067_03.png?rect=0%2C114%2C1600%2C840&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2022-01%2F5a36c819-05a2-4bfb-ac50-57dd67355acb%2FBanner_7814X143.jpg&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/bangladesh/district/qnl002x85t,পায়রা বন্দরে জেটি থেকে পড়ে নির্মাণশ্রমিকের মৃত্যু,পটুয়াখালীর কলাপাড়া উপজেলার পায়রা বন্দরে কাজ করার সময় পড়ে গিয়ে সাইফুল হাওলাদার (৩৫) নামের এক নির্মাণশ্রমিক মারা গেছেন। আজ শুক্রবার সন্ধ্যা সাড়ে ছয়টার দিকে তিনি বন্দরের প্রথম টার্মিনালের জেটি থেকে পড়ে যান। এরপর স্থানীয় বাসিন্দারা তাঁকে উদ্ধার করে হাসপাতালে নিলে চিকিৎসক মৃত ঘোষণা করেন।,A construction worker named Saiful Howladar (35) died after falling while working at Payra port in Kalapara upazila of Patuakhali. He fell from the jetty of the first terminal of the port around 6:30 pm on Friday. After that the local residents rescued him and took him to the hospital where the doctor declared him dead.,Education,https://images.prothomalo.com/prothomalo-bangla%2F2022-07%2F40121099-f494-4b2e-b9aa-6d35cf96d8de%2FPayra_Port.webp?rect=0%2C0%2C576%2C302&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/bangladesh/a5nskxanm6,জাপানে ইন্টার্নশিপের সুযোগ পেল ইস্টার্ন ইউনিভার্সিটির ১০ শিক্ষার্থী,২০২৪ সালের জানুয়ারি মাসে তারা ইন্টার্নশিপ শুরু করবেন বলে আশা করা হচ্ছে।,They are expected to start their internship in January 2024.,Health,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F58b05885-119b-42ff-bc96-c2b3f4fe6212%2Feastern_uni.jpg?rect=444%2C0%2C3916%2C2056&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/politics/apuicf4ang,আওয়ামী লীগে এবার অনেক নতুন মুখ আসতে পারে,দ্বাদশ জাতীয় সংসদ নির্বাচনের জন্য দুই দিন ধরে বৈঠক করে পাঁচটি বিভাগের মনোনয়ন চূড়ান্ত করেছে ক্ষমতাসীন দল।,The ruling party has finalized the nomination of five categories for the 12th National Assembly election after meeting for two days.,World,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F8e813e82-72f8-4346-b3b7-244139de1d1d%2FPM_3_23112023_KALLAL_PIX083302.JPG?rect=0%2C0%2C450%2C236&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2022-01%2F5a36c819-05a2-4bfb-ac50-57dd67355acb%2FBanner_7814X143.jpg&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/bangladesh/1epk0e436k,গাজাবাসীকে আর্থিক সহায়তায় কনসার্ট ‘টু গাজা ফ্রম ঢাকা’,"আয়োজকেরা জানান, কনসার্টের টিকিট বিক্রির পুরো টাকা গাজায় যুদ্ধাহত মানুষের জন্য আর্থিক সহায়তা হিসেবে পাঠানো হবে। যে কারণে কনসার্টে অংশ নেওয়া কোনো ব্যান্ড দল ও শিল্পী কেউই পারিশ্রমিক নেননি। পাশাপাশি অনলাইনেও গাজার বাসিন্দাদের জন্য আর্থিক সহায়তা সংগ্রহ করা হয়।","The organizers said that all the money from the concert ticket sales will be sent as financial aid to the people affected by the war in Gaza. That is why none of the bands and artists who participated in the concert received remuneration. In addition, financial support for Gaza residents is also collected online.",Environment,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2Fb7319dd3-2d88-443b-9390-ea85b99771fd%2Fconcert_gaza_01.jpeg?rect=0%2C0%2C1600%2C840&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/sports/football/kjz3p5t0dt,গুলি করে ছিনিয়ে নেওয়া হলো মেসির স্ত্রীর সুপারমার্কেটের টাকা,গত মার্চেও একবার রোকুজ্জোদের সুপারমার্কেটে হামলা চালিয়েছিল দুষ্কৃতকারীরা। ২ মার্চ স্থানীয় সময় রাত ৩টায় রোকুজ্জোদের পরিবারের মালিকানাধীন সুপারমার্কেটে এলোপাতাড়ি গুলি ছোড়ে তারা।,Roccuzzo's supermarket was also attacked by miscreants last March. They opened fire on a supermarket owned by the Roccuzzo family at 3pm local time on March 2.,Science,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F56962655-e3c5-44bc-bdb5-04c76ef5fe2a%2Fprothomalo_bangla_2023_11_083e23f8_0ea2_480a_94a1_536bd59d31b4_403099476_18400407457011841_811371100.jpg?rect=0%2C0%2C666%2C350&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fae7d5c90-d7c9-4623-8d67-1fff8bde16af%2FGPI_2_7814X543.jpg&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/sports/cricket/0kcylhv78c,"কখন অবসর নেবেন, ‘সে সিদ্ধান্ত নেওয়ার অধিকার নেই ওয়ার্নারের’","অস্ট্রেলিয়ার সাবেক অলরাউন্ডার সাইমন ও’ডোনেলের মতে, কোনো নির্দিষ্ট সময়ে গিয়ে ক্যারিয়ারের ইতি টানার ‘অধিকার’ কারও নেই।","According to former Australian all-rounder Simon O'Donnell, no one has the 'right' to end their career at a certain point.",Technology,https://images.prothomalo.com/prothomalo-bangla%2F2023-07%2Ff3071dde-a2f9-40ec-bac7-4420a2fc6794%2F2023_07_21T140701Z_444346023_UP1EJ7L137NSD_RTRMADP_3_CRICKET_TEST_ENG_AUS__1_.JPG?rect=0%2C0%2C5371%2C2820&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fae7d5c90-d7c9-4623-8d67-1fff8bde16af%2FGPI_2_7814X543.jpg&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/entertainment/tv/uzqjcr15c4,মেয়ের অস্ট্রেলিয়ার দিনগুলোর কথা ভেবে কাঁদলেন অভিনেত্রী রোজী সিদ্দিকী,অস্ট্রেলিয়ায় এই তারকা দম্পতির মেয়ে সানজানা পড়াশোনা করার সময় তিনবার ভয়াবহ অভিজ্ঞতার মধ্য দিয়ে যান।,The star couple's daughter Sanjana went through three horrific experiences while studying in Australia.,Entertainment,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2Fd877d8d6-9df5-407d-863d-6052fd7311c1%2F28379592_10213086757477062_7409849287365633894_n.jpg?rect=0%2C0%2C726%2C381&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2023-10%2Fae7d5c90-d7c9-4623-8d67-1fff8bde16af%2FGPI_2_7814X543.jpg&overlay_position=bottom&overlay_width_pct=1
https://www.prothomalo.com/opinion/letter/fnxvwsecwj,এক টুকরা উষ্ণতার খোঁজে,"ঢাকা শহরে ইতিমধ্যে মৃদু শীতের বাতাস গায়ে লাগা শুরু করেছে। ঘূর্ণিঝড় মিধিলির প্রভাবে বেলা ফুরাবার পরপরই কিছুটা ঠান্ডা অনুভব হয় এখন। কমলাপুর রেলওয়ে স্টেশনেই দিবা–রাত্রি যাপন করেন, এমন মানুষের সংখ্যা নিতান্ত কম নয়। ৯ বছর বয়সী রাসেল তার ছোট বোন আমেনাকে নিয়ে মায়ের সঙ্গে কমলাপুর স্টেশনে থাকা সেই মানুষদের মধ্যে অন্যতম। খুব সকালে ট্রেনের বিকট শব্দে ঘুম ভাঙে ওদের। কাউকে জাগিয়ে দিতে হয় না। কখনো কখনো ভোর হওয়ার আগে আসা ট্রেনগুলোর শব্দে ঘুম ভেঙে গেলে আর ঘুম পায় না।",Mild winter breeze has already started in Dhaka city. A bit chilly now after dawn under the influence of Cyclone Midhili. The number of people who live day and night at Kamalapur railway station is not less. 9-year-old Russell along with his younger sister Amena was one of those people who stayed with their mother at Kamalapur station. They woke up early in the morning with the sound of the train. No one has to wake up. Sometimes the sound of trains coming before dawn wakes you up.,Education,https://images.prothomalo.com/prothomalo-bangla%2F2023-11%2F40be2187-b20a-4ca4-8b67-ef4a86daf758%2Fchildren.jpg?rect=0%2C450%2C4000%2C2100&w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&overlay=https%3A%2F%2Fimages.prothomalo.com%2Fprothomalo-bangla%2F2022-01%2F5a36c819-05a2-4bfb-ac50-57dd67355acb%2FBanner_7814X143.jpg&overlay_position=bottom&overlay_width_pct=1
